id,url,parent_id, Status Code, Status, Indexability, Indexability Status, Title 1, Word Count, Hash, Response Time, Last Modified, Redirect URL, Redirect Type
oc84,/about/infooc/links/gov,,200, OK, Indexable,,"Orange County,  California - Government Links ",325, 8bdd58cf0c8c1fb193a6221439cb5731,2.008,,, 
oc85,/services/animal/control,,200, OK, Indexable,,"Orange County,  California - Animal Control ",361, 30476067dd9194849d4db8194993a6e,1.906,,, 
oc86,/residents/health,,200, OK, Indexable,,"Orange County,  California - Health ",396, c6ebf9d9f9e3aef7b5a148b6cd44d4d9,1.874,,, 
oc87,/residents/taxes/filetaxes,,200, OK, Indexable,,"Orange County,  California - File Your Income Taxes ",301, eb1e5681e59a3c42c2d089e1ec8be70a,2.231,,, 
oc88,/about/infooc/links/oc/water,,200, OK, Indexable,,"Orange County,  California - Water Districts ",375, 7f80662359afdd6296996414c68429b7,1.616,,, 
oc89,/about/openoc/opad_reports,,200, OK, Indexable,,"Orange County,  California - Performance Audit Director Reports ",482, 96bc7e250d9d42e8023f929b764915e1,0.895,,, 
oc90,/business/permits,,200, OK, Indexable,,"Orange County,  California - Permits & Licensing ",345, 3459e54ae0bfe3a601cb25158f1ee074,1.464,,, 
oc91,/about/infooc/links/oc/fed,,200, OK, Indexable,,"Orange County,  California - Federal Government ",312, e522abe30fabccf588f8e46b6f46e83e,1.429,,, 
oc92,/residents/law/traffic,,200, OK, Indexable,,"Orange County,  California - Traffic Tickets & Information ",388, 7eec7595631b3cb438b30a5522adeb5c,1.561,,, 
oc93,/residents/gov,,200, OK, Indexable,,"Orange County,  California - Government ",354, e2e32c6f6e4daac3d5edd126b84500f4,0.914,,, 
oc94,/business/regulations,,200, OK, Indexable,,"Orange County,  California - Business Laws & Regulations ",280, 8fe2d1575577a0ce505e1c50393d85fd,1.484,,, 
oc95,/residents/gov/stimulus,,200, OK, Indexable,,"Orange County,  California - Stimulus ",475, 3582ce7c529d692ec94446f007940390,1.307,,, 
oc96,/about/infooc/links/oc,,200, OK, Indexable,,"Orange County,  California - Orange County Links ",368, 48ce984e9582c42e610be1e8741b2223,1.618,,, 
oc97,/residents/gov/redistricting,,200, OK, Indexable,,"Orange County,  California - Redistricting ",791, 32ffb14b1a7408cacfd4f48e732dd3cf,1.718,,, 
oc98,/about/infooc/census2020/agendas_board_actions_n_notices,,200, OK, Indexable,,"Orange County,  California - Agendas,  Board Actions & Notices ",322, afaf2cf913b4a983c558881ebbbfd937,0.843,,, 
oc99,/residents/health/mental,,200, OK, Indexable,,"Orange County,  California - Mental Health ",472, a3f98b67d84a6af2ebeb356af37734a3,1.841,,, 
oc100,/about/infooc/facts/indicators,,200, OK, Indexable,,"Orange County,  California - Community Indicators ",383, fe4aac844a2e50cc44c2f69503074b31,1.78,,, 
oc101,/residents/travel,,200, OK, Indexable,,"Orange County,  California - Travel & Transportation ",362, e4a2712e93e66fbb4f412b72052e929b,1.672,,, 
oc102,/residents/marriage,,200, OK, Indexable,,"Orange County,  California - Getting Married ",806, 256a937823705543911357cfbfdb52c8,1.614,,, 
oc103,/visitors/beaches,,200, OK, Indexable,,"Orange County,  California - Beaches & Harbors ",266, 837b8bbf1bbb3e1214756fcd98a6fb15,1.609,,, 
oc104,/residents/movining,,200, OK, Indexable,,"Orange County,  California - Moving to Orange County ",870, ea43615db024edcf39e272544093d7de,1.592,,, 
oc105,/residents/law/safety,,200, OK, Indexable,,"Orange County,  California - Law Enforcement,  Fire & Public Safety ",363, e3db6e68cbbb3eb2a875deeff10c3a67,1.575,,, 
oc106,/about/infooc/oc125,,200, OK, Indexable,,"Orange County,  California - OC's 125th Birthday ",504, 641698aa8e36bbc59b701f0e08574e0,2.613,,, 
oc107,/about/emergency/eui,,200, OK, Indexable,,"Orange County,  California - Emergency Utility Information ",400, 385c0e519e39cdb6b5d30cbecba8a0e,1.611,,, 
oc108,/about/emergency/preparation,,200, OK, Indexable,,"Orange County,  California - Prevention & Preparation ",438, bf3d47956797e399d72e53bbbc773da,1.699,,, 
oc109,/about/emergency/terrorism,,200, OK, Indexable,,"Orange County,  California - War & Terrorism ",371, 518dda1dc136abe940916dd874a25fb8,1.234,,, 
oc110,/about/infooc/intouch/directory,,200, OK, Indexable,,"Orange County,  California - OC Directory ",1777, 516b494249bc2c7c594029322e816d9d,1.569,,, 
oc111,/residents/law/facilities,,200, OK, Indexable,,"Orange County,  California - Correctional Facilities ",411, 8984601554559394aa4a2a072406b8db,1.276,,, 
oc112,/howdoi/learnaboutmain,,200, OK, Indexable,,"Orange County,  California - Learn About (main) ",235, b1da661ee9d9ce9dcb90a065b9f44436,0.919,,, 
oc113,/residents/mccp,,200, OK, Indexable,,"Orange County,  California - Mortgage Credit Certificate Program ",786, 44b581adfe717a9541f139c874899fb2,1.864,,, 
oc114,/howdoi/getacopyofmain,,200, OK, Indexable,,"Orange County,  California - Get a Copy of (main) ",235, 53bf5790ffd3fb36709421ae14fb77e2,0.954,,, 
oc115,/residents/law/resources,,200, OK, Indexable,,"Orange County,  California - Legal Resources ",517, 34927fa67d0162f6681214925d0a6be,1.764,,, 
oc116,/howdoi/reportmain,,200, OK, Indexable,,"Orange County,  California - Report (main) ",234, a667331768b7d7c6905cdc53e85b728e,0.913,,, 
oc117,/about/emergency/resources,,200, OK, Indexable,,"Orange County,  California - Other Emergency Resources ",254, 444f2300198b51b8edb64d676ad4b90d,2.434,,, 
oc118,/about/openoc,,200, OK, Indexable,,"Orange County,  California - OpenOC ",444, 61576721c905abfb3be15ebc86033ef1,1.837,,, 
oc119,/residents/education/adultedu,,200, OK, Indexable,,"Orange County,  California - Continuing & Adult Education ",296, e8735ad4210a775205fa580646559d54,1.6,,, 
oc120,/about/infooc/intouch,,200, OK, Indexable,,"Orange County,  California - In Touch with the County ",309, 173d3c3b342fbb35d00d6d47faf01f82,1.674,,, 
oc121,/about/infooc/rfps,,200, OK, Indexable,,"Orange County,  California - Request for Proposals ",383, 7ba867f030589c6102fba0fbd2353ed7,0.876,,, 
oc122,/business/bids,,200, OK, Indexable,,"Orange County,  California - Bids,  Auctions & Purchasing ",348, e6abb5be9c99097440c6d6537c7de705,1.701,,, 
oc123,/about/openoc/contracts,,200, OK, Indexable,,"Orange County,  California - Contracts ",945, ec8d55d93c8f99ae73e48d35325ca6e3,1.281,,, 
oc124,/contact/privacy,,200, OK, Indexable,,"Orange County,  California - Privacy Policy ",1449, 33a1cd3ff5c0838648b7046c4190435,1.606,,, 
oc125,/about/emergency/eoc,,200, OK, Indexable,,"Orange County,  California - Emergency Operations Center ",517, 25ed4c8bb9d219d5ebfeee2aadd855f1,1.174,,, 
oc126,/residents/financial,,200, OK, Indexable,,"Orange County,  California - Financial Assistance ",390, 2842f416d092ca0f4a675672d80ebc1c,1.198,,, 
oc127,/howdoi/registermain,,200, OK, Indexable,,"Orange County,  California - Register (main) ",227, 1fd171342969bd99a049f06206386816,0.921,,, 
oc128,/services/animal/search,,200, OK, Indexable,,"Orange County,  California - Animal Shelter Search ",279, bebc85a7f9cf07f398d83e9ee9d3458,1.582,,, 
oc129,/residents/communities/libraries,,200, OK, Indexable,,"Orange County,  California - Library Locations ",310, da41379b1882ce4de579957045549f9b,1.231,,, 
oc130,/business/bids/auctions,,200, OK, Indexable,,"Orange County,  California - Property Auctions ",373, b64b1ab88eb41a4ad065783f99f7c4fb,1.704,,, 
oc131,/residents/health/loss,,200, OK, Indexable,,"Orange County,  California - Coping With Personal Loss ",484, 4811e291608326a58615b0ef6582f1ea,1.259,,, 
oc132,/about/infooc/photocontest17/autumnoc_result,,200, OK, Indexable,,"Orange County,  California - Autumn Orange County Photo Contest Result ",337, e59e095b477881d2cee4de14c68edd8c,0.911,,, 
oc133,/about/infooc/facts/demo,,200, OK, Indexable,,"Orange County,  California - Demographics ",232, 9ea8808852fe6a75b1670265a708b0ad,1.946,,, 
oc134,/services/norss,,200, OK, Indexable,,"Orange County,  California - New or Replacement Social Security ",484, 907d771f7afc88d9df9076400bc0e80,1.779,,, 
oc135,/about/infooc/reports,,200, OK, Indexable,,"Orange County,  California - Initiatives & Reports ",498, 3ea9d7f293afd7f590fb97404e2ee331,1.277,,, 
